index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
149,4.0,2.0,2.0,6.0,4.0,-0.503263889,,,False,True,
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,,False,True,
198,2.0,2.0,2.0,4.0,2.0,-0.54725,,,False,False,
162,4.0,4.0,2.0,6.0,2.0,-0.5013195,,,False,True,
220,4.0,2.0,4.0,2.0,6.0,-0.579277778,,,False,False,
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,,False,True,
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,,False,False,
155,2.0,4.0,4.0,4.0,2.0,-0.489930597,,,False,True,
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,,False,True,
156,2.0,2.0,2.0,2.0,2.0,-0.8476465,,-0.010612794880234798,False,True,0.12022202697410572
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,-5.356136893936713e-05,False,True,0.9630652983219569
207,2.0,2.0,2.0,2.0,6.0,-2.025200306,,-0.003256360064764392,False,False,0.06997188555416567
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.3658518974460296,False,True,0.03367596566034015
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.28947320033668,False,True,0.6008221025228812
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.27563143901480003,False,True,0.4496470627913447
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,0.2385435877331343,False,True,0.10196618076494117
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,0.9778643355287349,False,True,0.3625923945250894
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.9498398998917562,False,True,0.43774951465895084
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.4028228564632152,False,False,0.5170533122693927
